"","YEAR","WEEK","subtype","inci"
"602",2007,45,"inci.A.H3",33446.4915399591
"603",2007,45,"inci.B",13423.7945775241
"604",2007,46,"inci.A.H1",82925.3120797928
"605",2007,46,"inci.A.H3",20731.3280199482
"606",2007,46,"inci.B",2438.97976705273
"607",2007,47,"inci.A.H1",177520.467575871
"608",2007,47,"inci.A.H3",10144.0267186212
"609",2007,47,"inci.B",19209.7513844756
"610",2007,48,"inci.A.H1",123005.383267218
"611",2007,48,"inci.A.H3",30123.7673307473
"612",2007,48,"inci.B",14583.7286283777
"613",2007,49,"inci.A.H1",123753.765900097
"614",2007,49,"inci.A.H3",35358.2188285992
"615",2007,49,"inci.B",22154.8333166539
"616",2007,50,"inci.A.H1",134433.227531699
"617",2007,50,"inci.A.H3",59150.6201139476
"618",2007,50,"inci.B",26630.5822158032
"619",2007,51,"inci.A.H1",185700.570574611
